uid,method,role,type,gaia_type,dual_truth,truth_source,P_true,f_true,f_true_in_grid,f_rec,P_rec,class,recovered_pre,delta_f,dphi_cycles,frac_err,T_grid_days,df,pts_per_rayleigh,n_obs,band_used,g_med_mag,r_med_mag,n_epochs_joint,chen_period,gaia_period,gaia_period_source
chen_f486_ZTFJ180605.79+055454.2,gls_1band,science,RRab,RRab,False,chen,0.6573202,1.5213285701550021,True,1.5213600697471665,0.6573065902578796,exact,True,3.1499592164419e-05,0.08670620736777537,2.070531822143433e-05,2752.613650208339,7.265329845975008e-05,5.000338496090156,986,r,15.0465145,14.5360918,1455,0.6573202,0.657302923227504,gaia_dr3_pf
chen_f486_ZTFJ180605.79+055454.2,ftp_1band,science,RRab,RRab,False,chen,0.6573202,1.5213285701550021,True,1.5213600697471665,0.6573065902578796,exact,True,3.1499592164419e-05,0.08670620736777537,2.070531822143433e-05,2752.613650208339,7.265329845975008e-05,5.000338496090156,986,r,15.0465145,14.5360918,1455,0.6573202,0.657302923227504,gaia_dr3_pf
chen_f486_ZTFJ180605.79+055454.2,mbls_h1,science,RRab,RRab,False,chen,0.6573202,1.5213285701550021,True,1.5213600697471665,0.6573065902578796,exact,True,3.1499592164419e-05,0.08670620736777537,2.070531822143433e-05,2752.613650208339,7.265329845975008e-05,4.9785824185765435,1455,g+r,15.0465145,14.5360918,1455,0.6573202,0.657302923227504,gaia_dr3_pf
chen_f486_ZTFJ180605.79+055454.2,mhls_h8,science,RRab,RRab,False,chen,0.6573202,1.5213285701550021,True,1.5213600697471665,0.6573065902578796,exact,True,3.1499592164419e-05,0.08670620736777537,2.070531822143433e-05,2752.613650208339,7.265329845975008e-05,4.9785824185765435,1455,g+r,15.0465145,14.5360918,1455,0.6573202,0.657302923227504,gaia_dr3_pf
chen_f486_ZTFJ180605.79+055454.2,ce,science,RRab,RRab,False,chen,0.6573202,1.5213285701550021,True,1.5213600697471665,0.6573065902578796,exact,True,3.1499592164419e-05,0.08670620736777537,2.070531822143433e-05,2752.613650208339,7.265329845975008e-05,4.9785824185765435,1455,g+r,15.0465145,14.5360918,1455,0.6573202,0.657302923227504,gaia_dr3_pf
chen_f486_ZTFJ180605.79+055454.2,ftp_mb,science,RRab,RRab,False,chen,0.6573202,1.5213285701550021,True,1.5213600697471665,0.6573065902578796,exact,True,3.1499592164419e-05,0.08670620736777537,2.070531822143433e-05,2752.613650208339,7.265329845975008e-05,4.9785824185765435,1455,g+r,15.0465145,14.5360918,1455,0.6573202,0.657302923227504,gaia_dr3_pf
chen_f486_ZTFJ180625.92+054646.1,gls_1band,science,RRc,RRc,False,chen,0.3610577,2.769640420353866,True,2.7693257773902937,0.36109872235485474,miss,False,0.0003146429635720871,0.8660905197579352,0.00011360426474852156,2752.6136606563814,7.265329845975008e-05,5.000338477110468,988,r,15.478919,14.985723,1447,0.3610577,0.36112103514108074,gaia_dr3_p1_o
chen_f486_ZTFJ180625.92+054646.1,ftp_1band,science,RRc,RRc,False,chen,0.3610577,2.769640420353866,True,2.7693257773902937,0.36109872235485474,miss,False,0.0003146429635720871,0.8660905197579352,0.00011360426474852156,2752.6136606563814,7.265329845975008e-05,5.000338477110468,988,r,15.478919,14.985723,1447,0.3610577,0.36112103514108074,gaia_dr3_p1_o
chen_f486_ZTFJ180625.92+054646.1,mbls_h1,science,RRc,RRc,False,chen,0.3610577,2.769640420353866,True,2.7693257773902937,0.36109872235485474,miss,False,0.0003146429635720871,0.8660905197579352,0.00011360426474852156,2752.6136606563814,7.265329845975008e-05,4.9785823967906175,1447,g+r,15.478919,14.985723,1447,0.3610577,0.36112103514108074,gaia_dr3_p1_o
chen_f486_ZTFJ180625.92+054646.1,mhls_h8,science,RRc,RRc,False,chen,0.3610577,2.769640420353866,True,2.7693257773902937,0.36109872235485474,miss,False,0.0003146429635720871,0.8660905197579352,0.00011360426474852156,2752.6136606563814,7.265329845975008e-05,4.9785823967906175,1447,g+r,15.478919,14.985723,1447,0.3610577,0.36112103514108074,gaia_dr3_p1_o
chen_f486_ZTFJ180625.92+054646.1,ce,science,RRc,RRc,False,chen,0.3610577,2.769640420353866,True,2.7693257773902937,0.36109872235485474,miss,False,0.0003146429635720871,0.8660905197579352,0.00011360426474852156,2752.6136606563814,7.265329845975008e-05,4.9785823967906175,1447,g+r,15.478919,14.985723,1447,0.3610577,0.36112103514108074,gaia_dr3_p1_o
