# using stop=2E-2
# N Nf t_gatspy t_ftp
10 24 3.34787392616 7.34864497185
15 36 5.47639799118 8.83628582954
20 49 11.8952078819 7.6617372036
30 74 9.91193008423 9.48303699493
40 99 14.1487319469 11.5241219997
50 124 19.089963913 13.5241951942
60 149 21.3367829323 15.2678551674
70 174 27.9681129456 17.4411361217
80 199 35.8168251514 19.6649940014
90 224 32.7348921299 23.230271101
100 249 44.8190522194 23.2229270935
120 299 55.795539856 27.5618309975
150 374 72.3278009892 33.7921328545
200 499 138.174586058 42.6440820694
300 749 238.227612019 64.5070860386
500 1249 446.259947062 111.219393969
1000 2499 1456.087358 206.406923056
